Page 1: a detailed scan of a manga panel showing a man in a hoodie with dominant gray, pink and green colors
Page 2: a detailed scan of a manga panel showing a person holding a cell phone with dominant gray, pink and brown colors
Page 3: a detailed scan of a manga panel showing a person sitting at a table with dominant gray, pink and green colors
Page 4: a detailed scan of a manga panel showing a woman sitting at a table with a plate of food in front of her with dominant gray, pink and green colors
Page 5: a detailed scan of a manga panel showing a man in a hoodie and a woman sitting on a couch with dominant gray, pink and green colors
Page 6: a detailed scan of a manga panel showing an airplane flying in the sky with dominant green, orange and gray colors
Page 7: a detailed scan of a manga panel showing a man in an orange shirt with dominant gray, pink and green colors
Page 8: a detailed scan of a manga panel showing a man and a woman talking to each other with dominant gray, pink and green colors
Page 9: a detailed scan of a manga panel showing a man in a suit and tie with dominant gray, pink and green colors
Page 10: a detailed scan of a manga panel showing a man and a woman sharing a kiss with dominant gray, pink and green colors
Page 11: a detailed scan of a manga panel showing a man and a woman talking to each other with dominant gray, pink and green colors
Page 12: a detailed scan of a manga panel showing a blue cloud in the sky with dominant gray, pink and green colors
Page 13: a detailed scan of a manga panel showing a man in a suit and tie with dominant gray, pink and green colors
Page 14: a detailed scan of a manga panel showing a man in a top hat with dominant gray, pink and green colors
Page 15: a detailed scan of a manga panel showing an airplane flying in the sky with dominant gray, pink and green colors
Page 16: a detailed scan of a manga panel showing a man in a suit and a woman dressed as batman with dominant gray, pink and green colors
Page 17: a detailed scan of a manga panel showing a man and a woman talking to each other with dominant gray, pink and green colors
Page 18: a detailed scan of a manga panel showing a man and a woman talking to each other with dominant gray, pink and green colors
Page 19: a detailed scan of a manga panel showing a man and a woman sitting in a car with dominant gray, pink and green colors
Page 20: a detailed scan of a manga panel showing a woman swimming in a pool with dominant gray and brown colors
Page 21: a detailed scan of a manga panel showing a man and a woman on a motorcycle with dominant gray, pink and green colors
Page 22: a detailed scan of a manga panel showing a red and blue swirly background with dominant gray, pink and green colors
Page 23: a detailed scan of a manga panel showing how it looks like with dominant red, green and gray colors
Page 24: a detailed scan of a manga panel showing a man and a woman with dominant gray, pink and green colors
Page 25: a detailed scan of a manga panel showing a man in a suit and tie holding a cell phone with dominant gray, pink and brown colors
Page 26: a detailed scan of a manga panel showing the title for solo leveling with dominant gray, pink and green colors
