Page 1: a detailed scan of a manga panel showing the interior of an airplane with dominant gray, pink and green colors
Page 2: a detailed scan of a manga panel showing a man in a white shirt and black hair with dominant gray, pink and green colors
Page 3: a detailed scan of a manga panel showing the different stages of the scene with dominant gray, pink and green colors
Page 4: a detailed scan of a manga panel showing a man and a woman talking to each other with dominant gray, pink and green colors
Page 5: a detailed scan of a manga panel showing a man in a suit and tie with dominant gray, pink and green colors
Page 6: a detailed scan of a manga panel showing the mouth and teeth with dominant gray, pink and brown colors
Page 7: a detailed scan of a manga panel showing the sky and clouds with dominant gray and pink colors
Page 8: a detailed scan of a manga panel showing a man with a sword in his hand with dominant gray, pink and purple colors
Page 9: a detailed scan of a manga panel showing a man flying through the air with dominant gray, pink and green colors
Page 10: a detailed scan of a manga panel showing a person in the water with dominant gray, pink and green colors
Page 11: a detailed scan of a manga panel showing how to use the webpage with dominant gray, pink and green colors
Page 12: a detailed scan of a manga panel showing a woman in a black dress with dominant gray, pink and green colors
Page 13: a detailed scan of a manga panel showing a man with a sword in his hand with dominant gray, pink and green colors
Page 14: a detailed scan of a manga panel showing a man in a blue shirt with dominant gray, pink and green colors
Page 15: a detailed scan of a manga panel showing a man and a woman sitting on a bench with dominant gray, pink and green colors
Page 16: a detailed scan of a manga panel showing a man and a woman in a boat with dominant gray, pink and green colors
Page 17: a detailed scan of a manga panel showing a woman in a red hoodie with dominant gray, pink and green colors
Page 18: a detailed scan of a manga panel showing a man with a sword in his hand with dominant gray, pink and green colors
Page 19: a detailed scan of a manga panel showing a man in a baseball uniform with a bat on his shoulder with dominant gray, pink and green colors
Page 20: a detailed scan of a manga panel showing a man in a shirt and tie with dominant gray, pink and green colors
Page 21: a detailed scan of a manga panel showing a coffee shop with dominant gray, pink and green colors
Page 22: a detailed scan of a manga panel showing a man sitting at a desk with dominant gray, pink and green colors
Page 23: a detailed scan of a manga panel showing a man in a suit and tie with dominant gray, pink and green colors
Page 24: a detailed scan of a manga panel showing a man in a blue shirt with dominant gray, pink and green colors
Page 25: a detailed scan of a manga panel showing the title for solo leveling with dominant gray, pink and green colors
